	methods
0	1.96
1	100-year flood
2	2SLS
3	68–95–99.7 rule
4	ABX test
5	ADMB
6	Analysis of covariance
7	ANOVA
8	ANOVA on ranks
9	ANOVA–simultaneous component analysis
10	ARGUS distribution
11	ASReml
12	posterior probability
13	A priori probability
14	Abductive reasoning
15	Absolute deviation
16	Absolute risk reduction
17	Absorbing Markov chain
18	Accelerated failure time model
19	Acceptable quality limit
20	Acceptance sampling
21	Accidental sampling
22	Accuracy and precision
23	Accuracy paradox
24	Acquiescence bias
25	Actuarial science
26	Adapted process
27	Adaptive estimator
28	Additive Markov chain
29	Additive model
30	Additive smoothing
31	Additive white Gaussian noise
32	Admissible decision rule
33	Age-standardized mortality rate
34	Age adjustment
35	Age stratification
36	Aggregate data
37	Aggregate pattern
38	Akaike information criterion
39	Algebra of random variables
40	Algebraic statistics
41	Algorithmic inference
42	Algorithms for calculating variance
43	Alignments of random points
44	All-pairs testing
45	Allan variance
46	Almost surely
47	Alpha beta filter
48	Alternative hypothesis
49	An Essay towards solving a Problem in the Doctrine of Chances
50	Analyse-it
51	Analysis of categorical data
52	Analysis of covariance
53	Analysis of molecular variance
54	Analysis of rhythmic variance
55	Analysis of variance
56	Analytic and enumerative statistical studies
57	Ancestral graph
58	Anchor test
59	Ancillary statistic
60	Anderson–Darling test
61	Anomaly detection
62	Anomaly time series
63	Anscombe's quartet
64	Anscombe transform
65	Antecedent variable
66	Antithetic variates
67	Approximate Bayesian computation
68	Approximate entropy
69	Arcsine distribution
70	Area chart
71	Area compatibility factor
72	Arithmetic mean
73	Armitage–Doll multistage model of carcinogenesis
74	Arrival theorem
75	Artificial neural network
76	Ascertainment bias
77	Association (statistics)
78	Association mapping
79	Association scheme
80	Assumed mean
81	Astrostatistics
82	Asymptotic distribution
83	Asymptotic equipartition property
84	Asymptotic normality
85	Asymptotic relative efficiency
86	Asymptotic theory (statistics)
87	Atkinson index
88	Attack rate
89	Augmented Dickey–Fuller test
90	Aumann's agreement theorem
91	Autocorrelation
92	Autocorrelation plot
93	Autocovariance
94	Autoregressive conditional duration
95	Autoregressive conditional heteroskedasticity
96	Autoregressive fractionally integrated moving average
97	Autoregressive integrated moving average
98	Autoregressive model
99	Autoregressive–moving-average model
100	Auxiliary particle filter
101	Average
102	Average treatment effect
103	Averaged one-dependence estimators
104	Azuma's inequality
105	BA model
106	BCMP network
107	BMDP
108	BV4.1 (software)
109	Backfitting algorithm
110	Balance equation
111	Balanced incomplete block design
112	Balanced repeated replication
113	Balding–Nichols model
114	Banburismus
115	Bangdiwala's B
116	Bapat–Beg theorem
117	Bar chart
118	Barabási–Albert model
119	Barber–Johnson diagram
120	Barnard's test
121	Barnardisation
122	Barnes interpolation
123	Bartlett's method
124	Bartlett's test
125	Bartlett's theorem
126	Base rate
127	Baseball statistics
128	Basu's theorem
129	Bates distribution
130	Baum–Welch algorithm
131	Bayes' rule
132	Bayes' theorem
